file_name,TP,class_confusions,unmatched_FP,unmatched_FN,FP,FN,ground_truth_objects,predicted_objects,precision,recall,F1,FN_rate,metric_state,was_in_original_effective_universe
Rhomboplites-aurorubens_38_jpeg.rf.625a8391d4e1c355f0d813c163f55e92.jpg,1,0,0,0,0,0,1,1,1,1,1,0,defined,TRUE
Sparisoma-chrysopterum_54_jpeg.rf.42675f7a625ef648abee676e2dd25dec.jpg,1,0,0,0,0,0,1,1,1,1,1,0,defined,TRUE
2024-08-18_07-55-52-06-00_0003_102MEDIA_DSCF0975_JPG.rf.1e0fc96ff3db149f9cc0237a77be0de1.jpg,2,2,0,4,2,6,8,4,0.5,0.25,0.3333333333333333,0.75,defined,TRUE
Cephalopholis-cruentata_5_jpg.rf.f0411387525a8c3b6b5ab18e4f82b684.jpg,1,0,0,1,0,1,2,1,1,0.5,0.6666666666666666,0.5,defined,TRUE
2025-09-16_13-20-08-06-00_0005_109MEDIA_DSCF0938_JPG.rf.53ec76f595a2a111634da7f2ff9ff138.jpg,0,2,0,1,2,3,3,2,0,0,0,1,defined_zero_performance,TRUE
Scarus-taeniopterus_49_jpg.rf.7e40b26f53171cd8de68444c0ecc16ec.jpg,1,1,1,1,2,2,3,3,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.6666666666666666,defined,TRUE
Chaetodon-sedentarius_46_jpg.rf.6e4c06aec42857d55a84240ba26d3950.jpg,2,0,0,2,0,2,4,2,1,0.5,0.6666666666666666,0.5,defined,TRUE
2024-09-11_16-11-10-06-00_0005_107MEDIA_DSCF0094_JPG.rf.5b79376f7cd9237b7916bf9153d9ffbe.jpg,0,0,0,2,0,2,2,0,NA,0,0,1,defined_zero_performance,FALSE
Urobatis-jamaicensis_32_png.rf.68b262ecf3065b0dc83d785d97b4d3aa.jpg,3,0,0,0,0,0,3,3,1,1,1,0,defined,TRUE
2024-08-13_17-21-56-06-00_0003_100MEDIA_DSCF0756_JPG.rf.0c1065fa6d63f5bcc8a1b87b74e737f5.jpg,4,0,0,0,0,0,4,4,1,1,1,0,defined,TRUE
Acanthurus-chirurgus_22_jpeg.rf.275638961006b350288c2992359a82e6.jpg,1,0,0,0,0,0,1,1,1,1,1,0,defined,TRUE
Nicholsina-usta_20_jpeg.rf.cd45f005105b02e17ea9cfbdce11f93e.jpg,1,0,0,1,0,1,2,1,1,0.5,0.6666666666666666,0.5,defined,TRUE
2024-08-15_18-02-42-06-00_0004_101MEDIA_DSCF0723_JPG.rf.39a9133cf41b25f30b401381b8fc84ac.jpg,0,2,0,2,2,4,4,2,0,0,0,1,defined_zero_performance,TRUE
Acanthurus-chirurgus_38_jpeg.rf.c6e287da761bcac4f14904c1fec8cca1.jpg,1,0,0,0,0,0,1,1,1,1,1,0,defined,TRUE
2024-08-22_12-14-40-06-00_0003_104MEDIA_DSCF0984_JPG.rf.c2b22fa07cfaa7453e66f595b1c8523c.jpg,1,0,0,1,0,1,2,1,1,0.5,0.6666666666666666,0.5,defined,TRUE
Chromis-scotti_8_jpeg.rf.20b37a893efdfb1eec53c781944b5268.jpg,2,0,0,0,0,0,2,2,1,1,1,0,defined,TRUE
Seriola-zonata_7_jpeg.rf.29a66cf2a8975475c51bb9b49b674af6.jpg,0,0,0,0,0,0,0,0,NA,NA,NA,NA,precision_recall_f1_undefined_no_objects,FALSE
2024-08-17_17-29-26-06-00_0002_102MEDIA_DSCF0685_JPG.rf.69479a00ce51cce76bfd514d763604f5.jpg,4,2,0,0,2,2,6,6,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.3333333333333333,defined,TRUE
Scarus-iseri_30_jpg.rf.8295e2756524c3d16da473962e1a6ae6.jpg,1,0,0,1,0,1,2,1,1,0.5,0.6666666666666666,0.5,defined,TRUE
Calamus-bajonado_29_jpg.rf.aed67bc9edf5254a17c0a7ace8a9b04e.jpg,1,0,0,0,0,0,1,1,1,1,1,0,defined,TRUE
Chaetodon-sedentarius_29_jpg.rf.0bd925caf1f7ecb756636ecd983f1eca.jpg,4,0,0,0,0,0,4,4,1,1,1,0,defined,TRUE
Sphyraena-barracuda_21_jpeg.rf.12544511faadd2b6c9337269c9995f78.jpg,1,0,2,1,2,1,2,3,0.3333333333333333,0.5,0.4,0.5,defined,TRUE
Scarus-iseri_57_jpeg.rf.a86847e96a70c31783ff783ced9360d7.jpg,1,0,0,1,0,1,2,1,1,0.5,0.6666666666666666,0.5,defined,TRUE
2024-08-16_06-05-46-06-00_0003_101MEDIA_DSCF0975_JPG.rf.96aa13beaab12516b9fb90d171eacf87.jpg,2,0,2,0,2,0,2,4,0.5,1,0.6666666666666666,0,defined,TRUE
Sparisoma-viride_34_jpeg.rf.7a86023a408268225484d01dc5eb7003.jpg,2,0,0,0,0,0,2,2,1,1,1,0,defined,TRUE
2024-08-14_06-43-40-06-00_0004_101MEDIA_DSCF0017_JPG.rf.082917b4a7eda1a6a34bd7fc98fb2590.jpg,16,0,2,3,2,3,19,18,0.8888888888888888,0.8421052631578947,0.8648648648648649,0.15789473684210525,defined,TRUE
Lutjanus-analis_49_jpeg.rf.fc869edd9d1b0ff72d0a96d6bab147c2.jpg,1,0,0,0,0,0,1,1,1,1,1,0,defined,TRUE
Sparisoma-chrysopterum_31_png.rf.3532f5d79666a10853eb3b2053ffe026.jpg,2,0,0,5,0,5,7,2,1,0.2857142857142857,0.4444444444444445,0.7142857142857143,defined,TRUE
2024-08-17_16-11-06-06-00_0003_102MEDIA_DSCF0660_JPG.rf.daab8de42bdd691e4e42a3ac081ca2fc.jpg,4,0,0,1,0,1,5,4,1,0.8,0.888888888888889,0.2,defined,TRUE
2024-08-18_08-46-50-06-00_0004_102MEDIA_DSCF0979_JPG.rf.663afc66ae187d61ca87ed0c0dd4661e.jpg,0,0,0,2,0,2,2,0,NA,0,0,1,defined_zero_performance,FALSE
Sphyraena-barracuda_13_jpeg.rf.a04eb5efeb3f4f07c0bf66938eb6a439.jpg,2,0,0,1,0,1,3,2,1,0.6666666666666666,0.8,0.3333333333333333,defined,TRUE
Urobatis-jamaicensis_51_jpeg.rf.9659bd25f93fba0aa26a5b997316e9d8.jpg,3,0,0,1,0,1,4,3,1,0.75,0.8571428571428571,0.25,defined,TRUE
2024-08-28_08-30-24-06-00_0004_100MEDIA_DSCF0208_JPG.rf.1c9d0c37b4b93482a0294a9c2f131a26.jpg,0,2,0,0,2,2,2,2,0,0,0,1,defined_zero_performance,TRUE
Chaetodon-striatus_24_png.rf.2768b4672c994e003563809a04a9b95f.jpg,5,0,0,0,0,0,5,5,1,1,1,0,defined,TRUE
Seriola-zonata_27_png.rf.c6b3cb9cf8b4d445214f58f91e1c1468.jpg,0,0,0,0,0,0,0,0,NA,NA,NA,NA,precision_recall_f1_undefined_no_objects,FALSE
2024-09-04_06-37-02-06-00_0002_103MEDIA_DSCF0728_JPG.rf.a67ee812e512bcdde371636edcb5f5da.jpg,3,0,0,2,0,2,5,3,1,0.6,0.7499999999999999,0.4,defined,TRUE
2025-09-11_14-56-56-06-00_0005_107MEDIA_DSCF0564_JPG.rf.0ee2b4b671d2d4e8633828b9b0daa09a.jpg,0,2,0,0,2,2,2,2,0,0,0,1,defined_zero_performance,TRUE
Kyphosus-vaigiensis_43_jpg.rf.026daba6f4cc86cdf27671c33e2f2a95.jpg,4,0,0,0,0,0,4,4,1,1,1,0,defined,TRUE
