gt,pred,n,gt_name,pred_name
46,14,0,Sparisoma chrysopterum,Chaetodon sedentarius
46,15,0,Sparisoma chrysopterum,Chaetodon striatus
46,16,0,Sparisoma chrysopterum,Chromis scotti
46,17,0,Sparisoma chrysopterum,Diodon spp
46,18,0,Sparisoma chrysopterum,Epinephelus spp
46,19,0,Sparisoma chrysopterum,Ginglymostoma cirratum
46,2,0,Sparisoma chrysopterum,Acanthurus chirurgus
46,20,0,Sparisoma chrysopterum,Haemulon flavolineatum
46,21,0,Sparisoma chrysopterum,Haemulon juvenil
46,22,0,Sparisoma chrysopterum,Haemulon plumierii
46,23,0,Sparisoma chrysopterum,Haemulon plumierii juvenil
46,24,0,Sparisoma chrysopterum,Haemulon sciurus
46,25,0,Sparisoma chrysopterum,Halichoeres spp
46,26,0,Sparisoma chrysopterum,Holacanthus spp
46,27,0,Sparisoma chrysopterum,Kyphosus spp
46,28,0,Sparisoma chrysopterum,Lachnolaimus maximus
46,29,0,Sparisoma chrysopterum,Lutjanus analis
46,3,0,Sparisoma chrysopterum,Acanthurus coeruleus
46,30,0,Sparisoma chrysopterum,Lutjanus griseus
46,31,0,Sparisoma chrysopterum,Lutjanus jocu
46,32,0,Sparisoma chrysopterum,Mycteroperca spp
46,33,0,Sparisoma chrysopterum,Nicholsina usta
46,34,0,Sparisoma chrysopterum,Ocyurus chrysurus
46,35,0,Sparisoma chrysopterum,Pomacanthus arcuatus
46,36,0,Sparisoma chrysopterum,Pomacanthus paru
46,37,0,Sparisoma chrysopterum,Rhomboplites aurorubens
46,38,0,Sparisoma chrysopterum,Scarus coelestinus
46,39,0,Sparisoma chrysopterum,Scarus coeruleus
46,4,0,Sparisoma chrysopterum,Anisotremus virginicus
46,40,0,Sparisoma chrysopterum,Scarus guacamaia
46,41,0,Sparisoma chrysopterum,Scarus iseri
46,42,0,Sparisoma chrysopterum,Scarus juvenil
46,43,0,Sparisoma chrysopterum,Scarus taeniopterus
46,44,0,Sparisoma chrysopterum,Scarus vetula
46,45,0,Sparisoma chrysopterum,Sparisoma aurofrenatum
46,46,12,Sparisoma chrysopterum,Sparisoma chrysopterum
46,47,0,Sparisoma chrysopterum,Sparisoma rubripinne FI
46,48,1,Sparisoma chrysopterum,Sparisoma viride
46,49,0,Sparisoma chrysopterum,Sparisoma viride FI
46,5,0,Sparisoma chrysopterum,Azurina cyanea
46,50,0,Sparisoma chrysopterum,Sphyraena barracuda
46,51,0,Sparisoma chrysopterum,Urobatis jamaicensis
46,52,0,Sparisoma chrysopterum,unidentifiable
46,6,0,Sparisoma chrysopterum,Bodianus rufus
46,7,0,Sparisoma chrysopterum,Calamus spp
46,8,0,Sparisoma chrysopterum,Caranx bartholomaei
46,9,0,Sparisoma chrysopterum,Caranx latus
46,background,8,Sparisoma chrysopterum,background
47,0,0,Sparisoma rubripinne FI,fish
47,1,0,Sparisoma rubripinne FI,Abudefduf saxatilis
47,10,0,Sparisoma rubripinne FI,Caranx ruber
47,11,0,Sparisoma rubripinne FI,Cephalopholis cruentata
47,12,0,Sparisoma rubripinne FI,Chaetodon capistratus
47,13,0,Sparisoma rubripinne FI,Chaetodon ocellatus
47,14,0,Sparisoma rubripinne FI,Chaetodon sedentarius
47,15,0,Sparisoma rubripinne FI,Chaetodon striatus
47,16,0,Sparisoma rubripinne FI,Chromis scotti
47,17,0,Sparisoma rubripinne FI,Diodon spp
47,18,0,Sparisoma rubripinne FI,Epinephelus spp
47,19,0,Sparisoma rubripinne FI,Ginglymostoma cirratum
47,2,0,Sparisoma rubripinne FI,Acanthurus chirurgus
47,20,0,Sparisoma rubripinne FI,Haemulon flavolineatum
47,21,0,Sparisoma rubripinne FI,Haemulon juvenil
47,22,0,Sparisoma rubripinne FI,Haemulon plumierii
47,23,0,Sparisoma rubripinne FI,Haemulon plumierii juvenil
47,24,0,Sparisoma rubripinne FI,Haemulon sciurus
47,25,0,Sparisoma rubripinne FI,Halichoeres spp
47,26,0,Sparisoma rubripinne FI,Holacanthus spp
47,27,0,Sparisoma rubripinne FI,Kyphosus spp
47,28,0,Sparisoma rubripinne FI,Lachnolaimus maximus
47,29,0,Sparisoma rubripinne FI,Lutjanus analis
47,3,0,Sparisoma rubripinne FI,Acanthurus coeruleus
47,30,0,Sparisoma rubripinne FI,Lutjanus griseus
47,31,0,Sparisoma rubripinne FI,Lutjanus jocu
47,32,0,Sparisoma rubripinne FI,Mycteroperca spp
47,33,0,Sparisoma rubripinne FI,Nicholsina usta
47,34,4,Sparisoma rubripinne FI,Ocyurus chrysurus
47,35,0,Sparisoma rubripinne FI,Pomacanthus arcuatus
47,36,0,Sparisoma rubripinne FI,Pomacanthus paru
47,37,0,Sparisoma rubripinne FI,Rhomboplites aurorubens
47,38,0,Sparisoma rubripinne FI,Scarus coelestinus
47,39,0,Sparisoma rubripinne FI,Scarus coeruleus
47,4,0,Sparisoma rubripinne FI,Anisotremus virginicus
47,40,0,Sparisoma rubripinne FI,Scarus guacamaia
47,41,0,Sparisoma rubripinne FI,Scarus iseri
47,42,0,Sparisoma rubripinne FI,Scarus juvenil
47,43,0,Sparisoma rubripinne FI,Scarus taeniopterus
47,44,0,Sparisoma rubripinne FI,Scarus vetula
47,45,0,Sparisoma rubripinne FI,Sparisoma aurofrenatum
47,46,0,Sparisoma rubripinne FI,Sparisoma chrysopterum
47,47,16,Sparisoma rubripinne FI,Sparisoma rubripinne FI
47,48,0,Sparisoma rubripinne FI,Sparisoma viride
47,49,0,Sparisoma rubripinne FI,Sparisoma viride FI
47,5,0,Sparisoma rubripinne FI,Azurina cyanea
47,50,0,Sparisoma rubripinne FI,Sphyraena barracuda
47,51,0,Sparisoma rubripinne FI,Urobatis jamaicensis
47,52,0,Sparisoma rubripinne FI,unidentifiable
47,6,0,Sparisoma rubripinne FI,Bodianus rufus
47,7,0,Sparisoma rubripinne FI,Calamus spp
47,8,0,Sparisoma rubripinne FI,Caranx bartholomaei
47,9,0,Sparisoma rubripinne FI,Caranx latus
47,background,3,Sparisoma rubripinne FI,background
48,0,0,Sparisoma viride,fish
48,1,0,Sparisoma viride,Abudefduf saxatilis
48,10,0,Sparisoma viride,Caranx ruber
48,11,0,Sparisoma viride,Cephalopholis cruentata
48,12,0,Sparisoma viride,Chaetodon capistratus
48,13,0,Sparisoma viride,Chaetodon ocellatus
48,14,0,Sparisoma viride,Chaetodon sedentarius
48,15,0,Sparisoma viride,Chaetodon striatus
48,16,0,Sparisoma viride,Chromis scotti
48,17,0,Sparisoma viride,Diodon spp
48,18,0,Sparisoma viride,Epinephelus spp
48,19,0,Sparisoma viride,Ginglymostoma cirratum
48,2,0,Sparisoma viride,Acanthurus chirurgus
48,20,0,Sparisoma viride,Haemulon flavolineatum
48,21,0,Sparisoma viride,Haemulon juvenil
48,22,0,Sparisoma viride,Haemulon plumierii
48,23,0,Sparisoma viride,Haemulon plumierii juvenil
48,24,0,Sparisoma viride,Haemulon sciurus
48,25,0,Sparisoma viride,Halichoeres spp
48,26,0,Sparisoma viride,Holacanthus spp
48,27,0,Sparisoma viride,Kyphosus spp
48,28,0,Sparisoma viride,Lachnolaimus maximus
48,29,0,Sparisoma viride,Lutjanus analis
48,3,0,Sparisoma viride,Acanthurus coeruleus
48,30,0,Sparisoma viride,Lutjanus griseus
48,31,0,Sparisoma viride,Lutjanus jocu
48,32,0,Sparisoma viride,Mycteroperca spp
48,33,0,Sparisoma viride,Nicholsina usta
48,34,0,Sparisoma viride,Ocyurus chrysurus
48,35,0,Sparisoma viride,Pomacanthus arcuatus
48,36,0,Sparisoma viride,Pomacanthus paru
48,37,0,Sparisoma viride,Rhomboplites aurorubens
48,38,0,Sparisoma viride,Scarus coelestinus
48,39,0,Sparisoma viride,Scarus coeruleus
48,4,0,Sparisoma viride,Anisotremus virginicus
48,40,0,Sparisoma viride,Scarus guacamaia
48,41,0,Sparisoma viride,Scarus iseri
48,42,0,Sparisoma viride,Scarus juvenil
48,43,0,Sparisoma viride,Scarus taeniopterus
48,44,0,Sparisoma viride,Scarus vetula
48,45,0,Sparisoma viride,Sparisoma aurofrenatum
48,46,0,Sparisoma viride,Sparisoma chrysopterum
48,47,0,Sparisoma viride,Sparisoma rubripinne FI
48,48,11,Sparisoma viride,Sparisoma viride
48,49,0,Sparisoma viride,Sparisoma viride FI
48,5,0,Sparisoma viride,Azurina cyanea
48,50,0,Sparisoma viride,Sphyraena barracuda
48,51,0,Sparisoma viride,Urobatis jamaicensis
48,52,0,Sparisoma viride,unidentifiable
48,6,0,Sparisoma viride,Bodianus rufus
48,7,0,Sparisoma viride,Calamus spp
48,8,0,Sparisoma viride,Caranx bartholomaei
48,9,0,Sparisoma viride,Caranx latus
48,background,7,Sparisoma viride,background
49,0,0,Sparisoma viride FI,fish
49,1,0,Sparisoma viride FI,Abudefduf saxatilis
49,10,0,Sparisoma viride FI,Caranx ruber
