class,class_type,split,images_containing_class,preaugmentation_source_images_containing_class,annotated_object_instances,percent_exported_images_SAMP,percent_exported_images_iNaturalist,percent_exported_images_UNKNOWN_REVIEW,percent_source_images_SAMP,percent_source_images_iNaturalist,percent_source_images_UNKNOWN_REVIEW,bbox_area_fraction_min,bbox_area_fraction_q25,bbox_area_fraction_median,bbox_area_fraction_q75,bbox_area_fraction_max,bbox_area_fraction_mean,present_in_all_three_splits,training_source_image_rank,low_training_representation_lower_quartile,source_dependence
Chaetodon striatus,species_level,valid,10,10,28,0.00000000,100.00000000,0.00000000,0.00000000,100.00000000,0.00000000,0.00010851,0.00799108,0.02187621,0.04665799,0.28479456,0.04070744,True,13,True,iNaturalist-predominant
Chaetodon striatus,species_level,test,10,10,25,10.00000000,90.00000000,0.00000000,10.00000000,90.00000000,0.00000000,0.00010851,0.01661663,0.05013021,0.11203342,0.34027778,0.08228504,True,13,True,iNaturalist-predominant
Chromis scotti,species_level,train,136,34,496,0.00000000,100.00000000,0.00000000,0.00000000,100.00000000,0.00000000,0.00000000,0.00928789,0.03863601,0.12511303,0.56105324,0.10964875,True,6,True,iNaturalist-predominant
Chromis scotti,species_level,valid,10,10,32,0.00000000,100.00000000,0.00000000,0.00000000,100.00000000,0.00000000,0.00270062,0.00846354,0.02610346,0.10882342,0.51798503,0.09027100,True,6,True,iNaturalist-predominant
Chromis scotti,species_level,test,10,10,35,0.00000000,100.00000000,0.00000000,0.00000000,100.00000000,0.00000000,0.00000000,0.00416245,0.03209997,0.09529924,0.47839205,0.08907197,True,6,True,iNaturalist-predominant
Diodon spp,genus_level_group,train,440,110,1640,19.09090909,80.90909091,0.00000000,19.09090909,80.90909091,0.00000000,0.00000000,0.00564236,0.01813724,0.08386381,0.63017216,0.07223986,True,37,False,iNaturalist-predominant
Diodon spp,genus_level_group,valid,10,10,22,0.00000000,100.00000000,0.00000000,0.00000000,100.00000000,0.00000000,0.00137442,0.00465751,0.06306363,0.13925887,0.31567383,0.09869227,True,37,False,iNaturalist-predominant
Diodon spp,genus_level_group,test,10,10,34,10.00000000,90.00000000,0.00000000,10.00000000,90.00000000,0.00000000,0.00005425,0.01236979,0.03981602,0.15234375,0.35489607,0.09810242,True,37,False,iNaturalist-predominant
Epinephelus spp,genus_level_group,train,884,221,2200,1.80995475,98.19004525,0.00000000,1.80995475,98.19004525,0.00000000,0.00000000,0.01104058,0.06680411,0.16503906,0.60221354,0.11140561,True,44,False,iNaturalist-predominant
Epinephelus spp,genus_level_group,valid,11,11,21,9.09090909,90.90909091,0.00000000,9.09090909,90.90909091,0.00000000,0.00066310,0.02050781,0.07128906,0.21031057,0.38807509,0.12607488,True,44,False,iNaturalist-predominant
